company_id,name,estab_year,employees_count
COM112,TechStar Group,2002,200-500
COM113,Carelon,2022,1000+
COM114,Carelon Global Solutions,2017,1000+
COM115,Clear,2011,1000+
COM116,interface.ai,2019,50-200
COM117,MOBtexting,2012,50-200
COM118,Neeman's,2018,10-50
COM119,Nirvana Insurance,2021,10-50
COM120,Squared Circle E-Com,2019,200-500
COM121,BYJU'S,2011,1000+
COM122,Citrix,1989,1000+
COM123,CubeHQ,2022,0-10
COM124,GetVantage,2019,10-50
COM125,Hy-Vee,1930,1000+
COM126,Nov,1841,1000+
COM127,GyanDhan,2015,10-50
COM128,Leena AI,2015,200-500
COM129,Reliance Jio,2016,500-1000
COM130,Rubrik,2015,500-1000
COM131,SDLC Corp,2015,50-200
COM132,Freeskout,2020,200-500
COM133,ImSafeNow,2017,0-10
COM134,Meeraq,2022,10-50
COM135,BlackLight Studio Works,2011,10-50
COM136,CloudBloom,2017,50-200
COM137,Gameberry Labs,2017,50-200
COM138,Hectar India Trading,2021,10-50
COM139,My Value Trip,2014,200-500
COM140,Quantum,1995,500-1000
COM141,VapprTech,2021,10-50
COM142,AXISCADES,1998,1000+
COM143,Brilliance,2019,10-50
COM144,Infosys BPM,2002,1000+
COM145,Invansys Technologies,2005,10-50
COM146,KSBM Infotech,2013,50-200
COM147,OrangeMantra,2001,50-200
COM148,Quotient Technology,1998,500-1000
COM149,Tessell,2021,10-50
COM150,Cerence,2019,1000+
COM151,Datacultr,2020,10-50
COM152,GoalTeller,2020,10-50
COM153,HCL Technologies,1976,1000+
COM154,Ixly Technologies,2012,10-50
COM155,OpenText,1991,1000+
COM156,Teamware Solutions,2003,1000+
COM157,3Frames Lab,2010,10-50
COM158,BluSapphire Cyber Systems,2014,10-50
COM159,Emids Technologies,1999,1000+
COM160,Freshworks,2010,1000+
COM161,Khabri Audio Platform,2017,10-50
COM162,Motherson Sumi Systems,1986,1000+
COM163,MUFG,1900,1000+
COM164,Bradsol,2014,50-200
COM165,Druva,2008,500-1000
COM166,EMotorad,2020,50-200
COM167,Hiver,2011,50-200
COM168,Kognitos,2021,10-50
COM169,Ripplr,2019,50-200
COM170,Amazon,1994,1000+
COM171,ANSR,2003,50-200
COM172,Arthmate,2020,10-50
COM173,IBM,1911,1000+
COM174,JMR Infotech,2007,200-500
COM175,Wipro,1945,1000+
COM176,Adalwin Tech / Yoola App,2015,10-50
COM177,eNoah,2006,1000+
COM178,Lendingkart,2014,200-500
COM179,Protouch,2018,10-50
COM180,Tata Elxsi,1989,1000+
COM181,Tekion,2016,50-200
COM182,BARC India,2013,10-50
COM183,Benzinga,2010,50-200
COM184,CashKaro.com,2012,50-200
COM185,KLAY Preschool and Daycare,2011,1000+
COM186,Varistor Technologies,2016,50-200
COM187,Default,2020,10-50
COM188,Intelehealth,2018,10-50
COM189,Pazago,2023,10-50
COM190,Symphony Technology Group,2002,10-50
COM191,1mg,2015,500-1000
COM192,Blue Yonder,1985,1000+
COM193,Citi,1900,1000+
COM194,RapidAI,2012,50-200
COM195,TO THE NEW,2008,1000+
COM196,Acies,2018,10-50
COM197,BizPilot,2021,10-50
COM198,Blackberrys Menswear,1991,500-1000
COM199,Optmyzr,2013,10-50
COM200,Suraasa,2017,50-200
COM201,Talentedge,2012,200-500
COM202,ZFW Dark Stores,2021,10-50
COM203,Baazi Games,2014,200-500
COM204,Broadridge,1962,1000+
COM205,BrowserStack,2011,50-200
COM206,HighLevel,2018,50-200
COM207,IndiaMART InterMESH,1999,1000+
COM208,Klimb.io,2015,10-50
COM209,Zell Education,2015,10-50
COM210,Designoweb,2014,50-200
COM211,Goavega Software,2014,50-200
COM212,inFeedo,2016,50-200
COM213,Kadel Labs,2017,50-200
COM214,Paktolus Solutions,2002,50-200
COM215,PocketFM,2018,50-200
COM216,TeamLease Regtech,2013,50-200
COM217,UNext Learning,2020,500-1000
COM218,AXS Solutions,2012,10-50
COM219,Brisa Technologies,2009,50-200
COM220,Ivan Infotech,2015,10-50
COM221,Nitara,2017,50-200
COM222,NowFloats,2012,200-500
